阿诺德,a'nuo'de
阿诺德的手铐,a'nuo'de'de'shou'kao
艾莉亚,ai'li'ya
爱情巧克力有剧毒,ai'qing'qiao'ke'li'you'ju'du
爱与死的饺子馒,ai'yu'si'de'jiao'zi'man
巴吉尔,ba'ji'er
巴利安来了,ba'li'an'lai'le
巴利安篇,ba'li'an'pian
巴兹,ba'zi
百发百中什么都可以排名,bai'fa'bai'zhong'shen'me'dou'ke'yi'pai'ming
白兰,bai'lan
白龙,bai'long
白魔咒,bai'mo'zhou
白拍手,bai'pai'shou
白指,bai'zhi
报仇,bao'chou
包容的大空,bao'rong'de'da'kong
暴走,bao'zou
被带来的情报,bei'dai'lai'de'qing'bao
被夺走的大空指环,bei'duo'zou'de'da'kong'zhi'huan
贝尔菲戈尔,bei'er'fei'ge'er
被歌颂为贯彻己道的浮云,bei'ge'song'wei'guan'che'ji'dao'de'fu'yun
被歌颂为狂暴席卷一切的疾风,bei'ge'song'wei'kuang'bao'xi'juan'yi'qie'de'ji'feng
被歌颂为明亮照耀天空的太阳,bei'ge'song'wei'ming'liang'zhao'yao'tian'kong'de'tai'yang
被歌颂为无法捕捉实体的幻影,bei'ge'song'wei'wu'fa'bu'zhuo'shi'ti'de'huan'ying
被歌颂为蕴含强烈一击的雷电,bei'ge'song'wei'yun'han'qiang'lie'yi'ji'de'lei'dian
被关闭的路,bei'guan'bi'de'lu
被揭露的真面目,bei'jie'lu'de'zhen'mian'mu
悲伤的钢琴,bei'shang'de'gang'qin
被委托的选择,bei'wei'tuo'de'xuan'ze
碧洋琪,bi'yang'qi
并盛的休息日,bing'sheng'de'xiu'xi'ri
波维诺家族,bo'wei'nuo'jia'zu
不协和音,bu'xie'he'yin
彩虹之子,cai'hong'zhi'zi
彩虹之子篇,cai'hong'zhi'zi'pian
彩虹之子之印,cai'hong'zhi'zi'zhi'yin
颤动的鬼,chan'dong'de'gui
朝利雨月,chao'li'yu'yue
超威力离子束,chao'wei'li'li'zi'shu
车轴雨,che'zhou'yu
城岛犬,cheng'dao'quan
橙色的奶嘴,cheng'se'de'nai'zui
赤龙卷之箭,chi'long'juan'zhi'jian
赤炎之矢,chi'yan'zhi'shi
初次约会地狱的动物园,chu'ci'yue'hui'di'yu'de'dong'wu'yuan
雏菊,chu'ju
畜生道,chu'sheng'dao
川平大叔,chuan'ping'da'shu
大空的彭格列匣,da'kong'de'peng'ge'lie'xia
大空马,da'kong'ma
大空首领,da'kong'shou'ling
大空战开始,da'kong'zhan'kai'shi
大空指环,da'kong'zhi'huan
大山拉吉,da'shan'la'ji
大追踪,da'zhui'zong
当彩虹聚集一堂时,dang'cai'hong'ju'ji'yi'tang'shi
到达,dao'da
的觉悟,de'jue'wu
迪诺,di'nuo
敌人是章鱼头,di'ren'shi'zhang'yu'tou
第一次试练,di'yi'ci'shi'lian
第一关卡,di'yi'guan'qia
地狱道,di'yu'dao
地狱骑士,di'yu'qi'shi
地狱指环,di'yu'zhi'huan
抵制宣言,di'zhi'xuan'yan
电光,dian'guang
电黑狐,dian'hei'hu
电击爱和恐怖料理,dian'ji'ai'he'kong'bu'liao'li
电击角,dian'ji'jiao
电流反击,dian'liu'fan'ji
靛色的奶嘴,dian'se'de'nai'zui
电之角,dian'zhi'jiao
冻结的火焰,dong'jie'de'huo'yan
短命骷髅病,duan'ming'ku'lou'bing
饿鬼道,e'gui'dao
二十年后的雷击,er'shi'nian'hou'de'lei'ji
法路歌,fa'lu'ge
繁吹雨,fan'chui'yu
范塔兹玛,fan'ta'zi'ma
愤怒的咆哮,fen'nu'de'pao'xiao
愤怒的真相,fen'nu'de'zhen'xiang
愤怒之火,fen'nu'zhi'huo
风纪委员长的消遣,feng'ji'wei'yuan'zhang'de'xiao'qian
风纪委员长来了,feng'ji'wei'yuan'zhang'lai'le
风太,feng'tai
弗兰,fu'lan
负债累累的暑假,fu'zhai'lei'lei'de'shu'jia
嘎哈哈爆发的便当盒,ga'ha'ha'bao'fa'de'bian'dang'he
高纯度岚,gao'chun'du'lan
高机动性变向导弹,gao'ji'dong'xing'bian'xiang'dao'dan
哥拉莫斯卡,ge'la'mo'si'ka
各自的反击,ge'zi'de'fan'ji
